ID_DECLARATION;TYPE_DECLARATION;SOUS TYPE DECLARATION;ADRESSE;CODE POSTAL;VILLE;ARRONDISSEMENT;CONSEIL DE QUARTIER;DATE DECLARATION;ANNEE_DECLARATION;MOIS_DECLARATION;OUTIL SOURCE;INTERVENANT;ID_DMR;geo_shape;geo_point_2d
8908;Graffitis, tags, affiches et autocollants;Graffitis sur mur, façade sur rue, pont;54 boulevard Saint-Michel, 75006 PARIS;75006;Paris 6;6;ODEON;2020-11-06;2020;11;Back Office;graffitis;B2020K008908;"{""coordinates"": [2.341156843849894, 48.84823612301676], ""type"": ""Point""}";48.84823612301676,2.341156843849894
9667;Propreté;Déchets et/ou salissures divers;5 Place Charles Michels, 75015 PARIS;75015;Paris 15;15;EMERIAU - ZOLA;2020-11-06;2020;11;IOPage DMR Paris.fr application;DPE-STPP-DT;A2020K009667;"{""coordinates"": [2.285102602581971, 48.84690499771227], ""type"": ""Point""}";48.84690499771227,2.285102602581971
10501;Propreté;Déchets et/ou salissures divers;224 Boulevard Saint-Germain, 75007 PARIS;75007;Paris 7;7;SAINT - THOMAS D'AQUIN;2020-11-07;2020;11;Androï;DPE-STPP-DT;G2020K010501;"{""coordinates"": [2.327545398485348, 48.85542300090138], ""type"": ""Point""}";48.85542300090138,2.327545398485348
10504;Objets abandonnés;Autres objets encombrants abandonnés;17 Rue Dombasle, 75015 PARIS;75015;Paris 15;15;VAUGIRARD - PARC DES EXPOSITIONS;2020-11-07;2020;11;Androï;Ramen en tant que prestataire de DansMaRue;G2020K010504;"{""coordinates"": [2.297122497971316, 48.83628000074566], ""type"": ""Point""}";48.83628000074566,2.297122497971316
23631;Graffitis, tags, affiches et autocollants;Affiches, autocollants ou graffitis sur autres supports:Boîte aux lettres (La Poste);29 Rue du Pont Neuf, 75001 PARIS;75001;Paris 1;1;LES HALLES;2020-11-14;2020;11;Androï;La Poste;G2020K023631;"{""coordinates"": [2.34483960419365, 48.861164001292295], ""type"": ""Point""}";48.861164001292295,2.34483960419365
23635;Autos, motos, vélos...;Automobile ou autre véhicule motorisé en stationnement gênant;20 Avenue de la Porte de Saint-Ouen, 75018 PARIS;75017;Paris 17;17;EPINETTES - BESSIERES;2020-11-14;2020;11;IOPage DMR Paris.fr application;DPMP-SCOP;A2020K023635;"{""coordinates"": [2.329273197136399, 48.89865500029008], ""type"": ""Point""}";48.89865500029008,2.329273197136399
23640;Autos, motos, vélos...;Épave d'automobile ou d'un autre véhicule motorisé;24 Rue Dugommier, 75012 PARIS;75012;Paris 12;12;JARDIN DE REUILLY;2020-11-14;2020;11;IOPage DMR Paris.fr application;DPMP-UEV;A2020K023640;"{""coordinates"": [2.392104597963634, 48.84009599553942], ""type"": ""Point""}";48.84009599553942,2.392104597963634
21121;Objets abandonnés;Autres objets encombrants abandonnés;17 Rue des Amandiers, 75020 PARIS;75020;Paris 20;20;AMANDIERS - MENILMONTANT;2020-11-13;2020;11;Androï;Ramen en tant que prestataire de DansMaRue;G2020K021121;"{""coordinates"": [2.388609605547966, 48.86362500082527], ""type"": ""Point""}";48.86362500082527,2.388609605547966
21946;Objets abandonnés;Autres objets encombrants abandonnés;80 Avenue de Clichy, 75017 PARIS;75017;Paris 17;17;LA FOURCHE - GUY MOQUET;2020-11-13;2020;11;Androï;Ramen en tant que prestataire de DansMaRue;G2020K021946;"{""coordinates"": [2.324337506139356, 48.888252000643995], ""type"": ""Point""}";48.888252000643995,2.324337506139356
20306;Objets abandonnés;Autres objets encombrants abandonnés;15 Rue d'Alleray, 75015 PARIS;75015;Paris 15;15;ALLERAY - PROCESSION;2020-11-13;2020;11;Androï;Ramen en tant que prestataire de DansMaRue;G2020K020306;"{""coordinates"": [2.301401602367759, 48.83806200119173], ""type"": ""Point""}";48.83806200119173,2.301401602367759
